,,Time,Density
1651,0.720306,110,0.720306
1654,0.719307,110.2,0.719307
1657,0.711714,110.4,0.711714
1660,0.717848,110.6,0.717848
1663,0.72722,110.8,0.72722
1666,0.738707,111,0.738707
1669,0.742582,111.2,0.742582
1672,0.744228,111.4,0.744228
1675,0.737361,111.6,0.737361
1678,0.726865,111.8,0.726865
1681,0.731227,112,0.731227
1684,0.731465,112.2,0.731465
1687,0.72955,112.4,0.72955
1690,0.733799,112.6,0.733799
1693,0.742843,112.8,0.742843
1696,0.744728,113,0.744728
1699,0.747365,113.2,0.747365
1702,0.742305,113.4,0.742305
1705,0.737767,113.6,0.737767
1708,0.745652,113.8,0.745652
1711,0.740841,114,0.740841
1714,0.741317,114.2,0.741317
1717,0.738489,114.4,0.738489
1720,0.742207,114.6,0.742207
1723,0.748368,114.8,0.748368
1726,0.759278,115,0.759278
1729,0.769672,115.2,0.769672
1732,0.760717,115.4,0.760717
1735,0.732952,115.6,0.732952
1738,0.695241,115.8,0.695241
1741,0.66755,116,0.66755
1744,0.647561,116.2,0.647561
1747,0.640022,116.4,0.640022
1750,0.559629,116.6,0.559629
1753,0.516487,116.8,0.516487
1756,0.497614,117,0.497614
1759,0.483907,117.2,0.483907
1762,0.459029,117.4,0.459029
1765,0.448377,117.6,0.448377
1768,0.459821,117.8,0.459821
1771,0.462849,118,0.462849
1774,0.48196,118.2,0.48196
1777,0.506089,118.4,0.506089
1780,0.51351,118.6,0.51351
1783,0.495437,118.8,0.495437
1786,0.471406,119,0.471406
1789,0.445736,119.2,0.445736
1792,0.412761,119.4,0.412761
1795,0.398399,119.6,0.398399
1798,0.393424,119.8,0.393424
1801,0.399983,120,0.399983
1804,0.41012,120.2,0.41012
1807,0.417338,120.4,0.417338
1810,0.424264,120.6,0.424264
1813,0.418583,120.8,0.418583
1816,0.418778,121,0.418778
1819,0.404712,121.2,0.404712
1822,0.396655,121.4,0.396655
1825,0.390927,121.6,0.390927
1828,0.380575,121.8,0.380575
1831,0.380505,122,0.380505
1834,0.379124,122.2,0.379124
1837,0.37379,122.4,0.37379
1840,0.374399,122.6,0.374399
1843,0.373544,122.8,0.373544
1846,0.367879,123,0.367879
1849,0.351499,123.2,0.351499
1852,0.338806,123.4,0.338806
1855,0.318474,123.6,0.318474
1858,0.305422,123.8,0.305422
1861,0.308934,124,0.308934
1864,0.314724,124.2,0.314724
1867,0.299386,124.4,0.299386
1870,0.280884,124.6,0.280884
1873,0.278672,124.8,0.278672
1876,0.297997,125,0.297997
1879,0.329516,125.2,0.329516
1882,0.346056,125.4,0.346056
1885,0.332095,125.6,0.332095
1888,0.341007,125.8,0.341007
1891,0.366232,126,0.366232
1894,0.386908,126.2,0.386908
1897,0.393791,126.4,0.393791
1900,0.412082,126.6,0.412082
1903,0.45707,126.8,0.45707
1906,0.505242,127,0.505242
1909,0.542419,127.2,0.542419
1912,0.571194,127.4,0.571194
1915,0.585456,127.6,0.585456
1918,0.589568,127.8,0.589568
1921,0.577476,128,0.577476
1924,0.568729,128.2,0.568729
1927,0.498293,128.4,0.498293
1930,0.448358,128.6,0.448358
1933,0.386416,128.8,0.386416
1936,0.360411,129,0.360411
1939,0.339704,129.2,0.339704
1942,0.335404,129.4,0.335404
1945,0.327924,129.6,0.327924
1948,0.316375,129.8,0.316375
1951,0.300362,130,0.300362
1954,0.285094,130.2,0.285094
1957,0.275921,130.4,0.275921
1960,0.264293,130.6,0.264293
1963,0.248401,130.8,0.248401
1966,0.23979,131,0.23979
1969,0.221908,131.2,0.221908
1972,0.206691,131.4,0.206691
1975,0.189827,131.6,0.189827
1978,0.170256,131.8,0.170256
1981,0.151308,132,0.151308
1984,0.144433,132.2,0.144433
1987,0.135295,132.4,0.135295
1990,0.133426,132.6,0.133426
1993,0.134613,132.8,0.134613
1996,0.133544,133,0.133544
1999,0.130418,133.2,0.130418
2002,0.147945,133.4,0.147945
2005,0.179472,133.6,0.179472
2008,0.214549,133.8,0.214549
2011,0.249482,134,0.249482
2014,0.292546,134.2,0.292546
2017,0.346161,134.4,0.346161
2020,0.38285,134.6,0.38285
2023,0.399015,134.8,0.399015
2026,0.456629,135,0.456629
2029,0.515001,135.2,0.515001
2032,0.552544,135.4,0.552544
2035,0.543211,135.6,0.543211
2038,0.523132,135.8,0.523132
2041,0.507146,136,0.507146
2044,0.408645,136.2,0.408645
2047,0.367496,136.4,0.367496
2050,0.334386,136.6,0.334386
2053,0.306316,136.8,0.306316
2056,0.291048,137,0.291048
2059,0.272128,137.2,0.272128
2062,0.23766,137.4,0.23766
2065,0.222419,137.6,0.222419
