density,time
0.705226,72.226
0.706779,72.293
0.70688,72.36
0.708023,72.427
0.708882,72.494
0.708968,72.561
0.709225,72.628
0.709284,72.695
0.709845,72.762
0.710025,72.829
0.709939,72.896
0.710091,72.963
0.709943,73.03
0.710333,73.097
0.712241,73.164
0.712647,73.231
0.712916,73.298
0.71285,73.365
0.712936,73.432
0.712901,73.499
0.713326,73.566
0.713154,73.633
0.713903,73.7
0.713697,73.767
0.713888,73.834
0.714282,73.901
0.714512,73.968
0.714469,74.035
0.714418,74.102
0.714844,74.169
0.715195,74.236
0.715288,74.303
0.714816,74.37
0.71459,74.437
0.714204,74.504
0.714489,74.571
0.714387,74.638
0.71569,74.705
0.715792,74.772
0.715203,74.839
0.714785,74.906
0.714176,74.973
0.713217,75.04
0.713455,75.107
0.713057,75.174
0.713061,75.241
0.712764,75.308
0.712721,75.375
0.712873,75.442
0.712425,75.509
0.712229,75.576
0.711906,75.643
0.711894,75.71
0.711558,75.777
0.71118,75.844
0.71118,75.911
0.710844,75.978
0.710411,76.045
0.710345,76.112
0.710368,76.179
0.70917,76.246
0.708975,76.313
0.709221,76.38
0.70926,76.447
0.7091,76.514
0.708733,76.581
0.708257,76.648
0.708304,76.715
0.708991,76.782
0.709791,76.849
0.710243,76.916
0.71084,76.983
0.711535,77.05
0.711874,77.117
0.711668,77.184
0.711469,77.251
0.712077,77.318
0.712791,77.385
0.712389,77.452
0.711746,77.519
0.71219,77.586
0.711925,77.653
0.711742,77.72
0.7115,77.787
0.711246,77.854
0.711812,77.921
0.712183,77.988
0.712023,78.055
0.712588,78.122
0.712171,78.189
0.711695,78.256
0.711956,78.323
0.71191,78.39
0.712491,78.457
0.711949,78.524
0.711863,78.591
0.710965,78.658
0.710719,78.725
0.710353,78.792
0.710037,78.859
0.710197,78.926
0.710228,78.993
0.710009,79.06
0.710755,79.127
0.710688,79.194
0.710458,79.261
0.708402,79.328
0.708667,79.395
0.708332,79.462
0.707957,79.529
0.707797,79.596
0.707633,79.663
0.707235,79.73
0.707824,79.797
0.708012,79.864
0.707278,79.931
0.706978,79.998
0.706806,80.065
0.706744,80.132
0.705951,80.199
0.706502,80.266
0.706271,80.333
0.706147,80.4
0.706396,80.467
0.706505,80.534
0.70656,80.601
0.706287,80.668
0.706353,80.735
0.705827,80.802
0.705222,80.869
0.705226,80.936
0.705124,81.003
0.705639,81.07
0.705561,81.137
0.705436,81.204
0.705308,81.271
0.705916,81.338
0.705936,81.405
0.706209,81.472
0.706513,81.539
0.707138,81.606
0.707602,81.673
0.70711,81.74
0.706833,81.807
0.706435,81.874
0.705838,81.941
0.705772,82.008
0.70546,82.075
0.705429,82.142
0.705893,82.209
0.705834,82.276
0.706065,82.343
0.703513,82.41
0.704227,82.477
0.704094,82.544
0.704679,82.611
0.705261,82.678
0.70576,82.745
0.705932,82.812
0.705756,82.879
0.706131,82.946
0.705838,83.013
0.706837,83.08
0.706361,83.147
0.706139,83.214
0.705905,83.281
0.705234,83.348
0.705237,83.415
0.704875,83.482
0.705191,83.549
0.705214,83.616
0.705577,83.683
0.705432,83.75
0.705155,83.817
0.705413,83.884
0.705811,83.951
0.705967,84.018
0.70615,84.085
0.706552,84.152
0.706525,84.219
0.706346,84.286
0.706084,84.353
0.705409,84.42
0.705245,84.487
0.705152,84.554
0.705358,84.621
0.705436,84.688
0.70466,84.755
0.704356,84.822
0.704348,84.889
0.703201,84.956
0.703103,85.023
0.70338,85.09
0.705113,85.157
0.704781,85.224
0.70489,85.291
0.704336,85.358
0.704102,85.425
0.702518,85.492
0.702233,85.559
0.702549,85.626
0.70189,85.693
0.702163,85.76
0.701628,85.827
0.701987,85.894
0.702334,85.961
0.702916,86.028
0.703954,86.095
0.703618,86.162
0.703724,86.229
0.704125,86.296
0.70427,86.363
0.704652,86.43
0.704508,86.497
0.704582,86.564
0.705405,86.631
0.705702,86.698
0.706111,86.765
0.70631,86.832
0.70631,86.899
0.706677,86.966
0.708179,87.033
0.708476,87.1
